"type","name","1-1-3","2-1","2-2","2-4","2-5","3-5","5-1","5-2","5-4","5-5","8-1-1","8-2","8-2-1","8-3","8-3-1","10-2-2","11-1","12-1","12-1-1","12-2","12-3"
1,"LE30O12",0.0783004,-0.810681,-0.0921444,-0.0810734,0.0430966,-0.0342574,0.126967,0.0360356,0.0720203,0.00747516,0.032966,0.0343842,0.0491955,0.0127214,0.0160433,0.0157762,-0.213984,-0.296882,-0.200143,-0.332753,0.07643420000000000000
1,"LE1J18",0.162454,0.11874,0.208437,-0.0971763,0.0850018,0.387811,-0.0195796,-0.19886,-0.136776,0.0709907,-0.124685,-0.12333,0.254305,-0.337792,-0.0527215,-0.126795,-0.13564,0.0269292,-0.0217187,0.243564,-0.61483000000000000000
1,"LE12D20",-0.0710907,0.314402,0.0911295,0.488605,0.343795,-0.232864,-0.104939,-0.00103727,0.176179,0.20848,-0.0600093,-0.0336438,0.315362,0.139021,0.300368,-0.015385,-0.00483596,0.18642,-0.174769,-0.0431657,-0.33161200000000000000
1,"LE31I14",0.0640582,-0.0206677,-0.113765,0.194357,0.101558,0.0254934,-0.247176,0.178351,0.0433017,-0.534923,0.17279,0.132666,0.116014,0.493777,0.354749,-0.00860083,-0.0148524,0.169618,-0.171724,0.217541,-0.12809400000000000000
1,"LE23N03",0.0468759,-0.405041,0.0492436,0.0170327,-0.247569,0.0681433,-0.539937,-0.255703,-0.127205,-0.0968629,-0.0761262,-0.0131271,0.0113545,0.163773,-0.128343,-0.0321854,-0.122653,0.0589758,-0.202173,0.10185,-0.51227000000000000000
1,"LE22C02",0.550685,-0.414723,0.128261,-0.0717853,0.082956,-0.0328777,-0.0298856,-0.0380391,-0.147211,-0.00259172,0.107494,0.0953257,0.161121,-0.248323,0.127671,0.0514,0.56086,0.15277,-0.00236967,0.0761794,-0.01573040000000000000
1,"LE32G21",-0.110745,0.280515,-0.225505,0.377265,-0.0148172,-0.148247,-0.0222708,-0.194106,0.237576,0.355997,0.295406,-0.0742454,0.179154,0.15541,-0.159174,0.445885,-0.18124,0.178865,-0.131222,0.0151897,-0.12982000000000000000
1,"LE30L21",0.361133,-0.00121182,-0.0118363,-0.00109531,-0.00929493,-0.00864479,0.588037,0.0638335,0.0360457,0.00393135,0.0852587,0.0458149,0.00609271,0.0769384,0.058399,0.0582657,0.329595,0.552358,0.150401,0.237479,-0.05676780000000000000
1,"LE28D18",-0.0877974,-0.0795504,0.282209,0.103119,0.188025,-0.041499,-0.115452,-0.184246,0.109177,0.452666,-0.0148092,0.00634867,0.0397388,0.148922,0.0939037,0.0393786,0.336961,0.426648,0.0715796,-0.00265814,-0.50933600000000000000
1,"LE18C08",-0.483189,-0.0249625,-0.126216,0.115723,-0.0246299,-0.0793636,-0.0656706,-0.314249,-0.171707,-0.200103,-0.0646707,-0.437636,0.0357204,-0.0931751,-0.0903554,-0.227721,0.125466,-0.100071,-0.185469,-0.097515,-0.47089000000000000000
1,"LE17P24",-0.268231,0.0384799,0.0486739,0.0617658,-0.0213934,0.00249879,-0.043765,-0.359478,-0.285778,-0.368903,0.131511,-0.229794,0.0879591,-0.0756265,0.0668323,-0.00448816,0.221104,-0.235012,-0.237993,-0.562014,-0.07977360000000000000
1,"LE31O11",0.0332778,-0.129927,0.0441336,0.0539197,0.168026,0.0758579,0.0601733,0.64189,0.0957979,0.0904095,0.0461317,-0.0369866,-0.00521929,0.02688,0.128935,-0.0523863,0.360363,0.31729,0.261525,0.433156,-0.00234703000000000000
1,"LE24J19",-0.119469,0.425975,0.0796338,0.197382,0.0842317,-0.248983,0.128816,-0.216705,-0.0239742,0.205016,0.216878,0.0589169,-0.065004,0.0765741,0.235471,-0.0292327,-0.0707196,0.0574027,-0.136472,-0.443343,-0.49330700000000000000
1,"LE19B20",0.0159968,-0.0861659,0.09286,-0.203834,-0.786194,-0.113914,-0.273645,-0.00693603,-0.313426,-0.0756417,-0.109422,-0.0164928,0.00450847,-0.03745,-0.138322,-0.0951123,-0.0781232,-0.027892,-0.259131,-0.0925694,-0.08795930000000000000
1,"LE32M14",0.378457,0.243887,-0.0802581,0.124899,-0.0236433,0.012439,0.281402,0.257963,0.0413448,0.0716033,0.619432,0.106484,0.230165,0.0865124,0.0162872,-0.118061,0.229235,-0.0167634,0.116395,0.260245,0.13476800000000000000
1,"LE15D14",-0.03871,0.0715243,-0.0401701,0.170081,0.0464366,-0.046692,0.381158,-0.0998212,0.164989,0.25037,0.114791,-0.0927069,0.231493,-0.00748989,-0.185839,0.0868679,0.0103437,0.0120522,0.070596,-0.0481158,-0.76701100000000000000
1,"LE20K17",0.120487,0.234829,0.761805,0.14273,-0.210027,-0.0329151,-0.140798,0.189043,0.0597188,-0.279382,0.150773,0.0692193,0.050637,-0.0176408,-0.0152453,0.154295,-0.0997346,0.271379,-0.0577767,0.0746882,-0.01717530000000000000
1,"LE28C23",-0.258608,-0.171013,-0.492412,-0.0412519,-0.0318555,-0.254465,0.185784,0.268207,0.496279,0.157933,0.283579,-0.00279835,-0.16903,-0.0720335,0.178134,0.0200642,-0.0175532,-0.162448,-0.0927977,0.0801899,-0.16791100000000000000
1,"LE2C04",-0.65871,-0.0980614,-0.105159,0.0519822,0.37588,-0.165845,-0.160771,-0.283153,0.109795,0.0824642,-0.012561,0.0730285,0.332689,0.138841,0.0656508,-0.251703,-0.0674625,0.00533148,-0.108592,0.0551617,-0.16287100000000000000
1,"LE15N16",-0.455726,0.146326,0.0990766,0.286641,0.129019,-0.174539,0.156569,0.0134277,0.361241,-0.0659907,-0.0347495,-0.0613626,0.232002,0.00992252,-0.0153417,0.0143774,-0.0225726,0.166478,0.031598,-0.170916,-0.59539600000000000000
1,"LE13I12",0.143866,0.230504,-0.176321,-0.169641,0.0285062,-0.188483,-0.0747928,-0.182911,0.285469,0.117871,0.0533391,-0.00905473,-0.01756,-0.254115,0.0345107,0.417816,0.379579,-0.153475,0.181546,0.0883847,0.49351000000000000000
1,"LE24J11",-0.227557,0.149879,0.575501,0.144745,0.157605,-0.176996,-0.169906,0.0634644,0.258799,0.214618,0.003448,-0.130136,0.0217232,0.0542088,-0.147788,0.00452311,0.0582126,0.118246,0.109442,0.304582,-0.45515200000000000000
1,"LE25C09",-0.213041,0.0419617,-0.0374563,0.151612,-0.168101,-0.200045,-0.0193991,0.133632,0.586748,0.125911,0.228179,0.0583807,0.360705,0.348198,0.0472564,-0.182936,-0.15079,-0.239162,0.23374,0.0599688,0.03372270000000000000
1,"LE12O04",0.0745727,0.191482,-0.0559546,-0.0262867,-0.475442,0.148846,-0.0187028,0.0461396,-0.0377913,-0.0958852,-0.0876045,-0.175552,0.0483891,-0.0367635,-0.139128,-0.00583767,0.00609032,0.0443579,0.0839837,-0.772437,-0.15924000000000000000
1,"LE16J02",0.0298614,-0.344666,-0.059312,-0.106104,-0.23693,-0.128072,0.615722,-0.0779179,-0.0767974,-0.0358277,0.0150063,-0.162468,-0.0829673,-0.214524,-0.0643148,-0.151866,0.0448547,-0.00323984,-0.157276,-0.397884,-0.32990600000000000000
1,"LE13K23",-0.082004,-0.106027,0.0751462,-0.40928,-0.115323,0.0647096,0.551597,0.0539668,0.247613,0.0678563,-0.246771,0.084182,0.0291438,0.033033,-0.0239639,-0.0347157,0.190521,-0.353905,-0.101193,-0.16553,0.38394200000000000000
1,"LE23H18",-0.097602,0.158616,0.0476356,0.280457,0.294915,-0.0901055,-0.388272,-0.50823,-0.0242718,-0.32446,0.00322101,-0.0590134,0.0522738,0.0165584,0.215818,-0.0437549,0.0233904,0.0205406,0.133389,0.0506685,-0.44503800000000000000
1,"LE33L02",0.113163,0.133343,-0.0863165,0.239056,0.273156,-0.0726483,0.217157,-0.245769,-0.404513,-0.361479,0.454289,0.0919009,-0.0732471,-0.00350929,0.199691,0.067809,-0.0822095,0.133968,0.150632,0.19031,0.27345100000000000000
1,"LE7O19",-0.252121,-0.062179,-0.0253039,0.0456102,0.0311479,-0.168366,0.0597772,-0.05462,0.0612399,0.00323417,0.0330877,-0.0533401,0.0682172,0.675936,0.172102,-0.380247,0.0030851,0.0137811,0.377131,0.325269,0.04791930000000000000
1,"LE10I07",0.655479,-0.0988354,-0.0966385,-0.0187359,-0.000229142,-0.0445202,-0.105195,-0.100075,-0.343394,0.232825,0.00010114,0.0552838,0.259747,-0.179047,-0.173609,0.0994241,0.281302,-0.0923804,0.0262548,-0.0819671,-0.34353800000000000000
1,"LE31B08",-0.0571753,0.344904,0.159427,0.352361,0.0546621,-0.104171,0.0329742,-0.461724,0.188679,0.116114,0.223277,0.0113315,0.110001,0.0302207,0.0703558,-0.0339657,0.019608,0.128872,0.0138595,-0.155336,-0.58359800000000000000
1,"LE14C17",-0.0203784,-0.125481,0.106989,0.153734,0.0717242,-0.198476,-0.0976417,-0.630208,0.0648392,-0.00047407,0.0667166,-0.0575896,0.356987,-0.217902,0.402377,0.0559463,0.0858877,-0.00714091,0.00153786,0.371684,-0.00402136000000000000
1,"LE19P03",-0.0199121,-0.0357017,-0.0237854,-0.0561312,0.00898995,0.0260756,0.0459729,-0.0295889,-0.0304415,0.0110079,-0.00152306,0.0378775,0.0452289,0.0426286,0.00593879,-0.00620811,-0.00196165,-0.0228232,0.0521485,-0.63264,-0.76220900000000000000
1,"LE32M24",-0.148024,-0.201496,0.0327367,0.112365,0.181127,-0.405829,0.0112162,-0.307009,0.159282,0.308694,0.497542,0.0985843,0.0932249,0.292383,-0.170452,-0.106084,-0.0600267,-0.205653,-0.198386,0.17557,-0.05840680000000000000
1,"LE5N02",-0.0685247,-0.322645,0.115241,-0.398297,-0.156471,0.150883,0.182704,0.0787194,-0.271372,-0.337774,0.121845,-0.0237468,0.113322,-0.177793,0.152437,0.266347,-0.073815,0.497581,-0.00690061,-0.188776,-0.04431980000000000000
1,"LE28H01",0.0285265,0.220777,-0.0805801,-0.203037,0.0299645,0.227134,0.338862,0.306973,-0.167898,0.132293,-0.04657,0.0435429,0.0417581,-0.0316666,-0.116049,0.0262584,0.122055,-0.159177,-0.640799,-0.0274837,-0.35058000000000000000
1,"LE16D11",0.0945818,0.173224,0.0803632,0.101231,0.216945,-0.0177145,-0.391559,-0.434265,-0.147424,-0.150973,0.0288542,0.291424,0.298856,-0.339285,0.115909,0.109117,-0.146694,0.130182,-0.297626,-0.0648659,-0.25247900000000000000
1,"LE22I11",0.222693,-0.188557,-0.0639849,0.00139793,0.151153,-0.289589,0.360915,0.251849,0.130966,-0.0810943,0.0268023,-0.133591,-0.281971,-0.361078,-0.176357,0.0386914,-0.00366474,0.177906,-0.271679,-0.384961,0.26817100000000000000
1,"LE23P11",0.0501615,0.297145,-0.181732,0.173502,0.0505767,-0.11465,-0.113304,-0.107449,0.181761,-0.234991,-0.0150503,0.45506,0.191712,-0.186363,0.0371157,-0.0387088,-0.121848,0.6183,0.0313006,0.126563,0.14801800000000000000
1,"LE33L18",0.223609,0.0908809,0.579207,0.0105773,0.00273367,0.0635335,0.0708081,0.0634472,-0.00579447,0.011758,0.0861797,-0.00134236,0.0729846,0.0585266,0.04289,-0.0454545,-0.161057,-0.242551,-0.023496,-0.250198,0.65183100000000000000
1,"LE12M17",0.0267046,0.00340481,-0.00707097,0.0785871,0.0494663,-0.0212653,-0.0651543,-0.00320791,-0.0503626,-0.0484905,-0.0738245,-0.00966995,-0.0360604,0.0226678,-0.030972,-0.0937337,-0.0109841,-0.015517,-0.0168467,-0.742153,-0.64223700000000000000
1,"LE26I05",0.134492,-0.261153,-0.0364431,-0.122787,-0.0501716,-0.203448,0.0729287,0.204588,-0.0558003,-0.136422,0.176001,0.175633,0.19401,0.0842489,0.476517,0.19113,-0.261727,0.386388,0.0853999,0.162478,0.40354600000000000000
1,"LE33C01",0.0297011,-0.224852,0.0282996,0.000648207,0.0800378,-0.148541,-0.790997,-0.243839,-0.189353,-0.13068,-0.175495,-0.129574,-0.15434,0.0619884,-0.113506,-0.135581,0.0453844,-0.111845,-0.0608171,0.0416853,0.23388000000000000000
1,"LE15J13",-0.283804,0.023384,-0.111288,0.000557006,-0.659249,-0.245308,-0.114361,-0.0517291,0.550767,-0.154454,0.0583337,-0.119695,0.0402018,-0.0299998,0.120134,-0.0203545,-0.111904,-0.0363017,-0.0532753,0.109557,0.07077930000000000000
1,"LE20D14",0.709649,0.0725691,-0.274625,0.0279004,-0.229406,-0.171606,0.25899,-0.0988879,-0.0413643,0.0713728,0.0285961,0.0559852,0.0135721,-0.00156457,-0.0665654,0.095957,0.378257,-0.00643227,-0.0259016,-0.0893604,-0.28221700000000000000
1,"LE17L04",-0.143168,0.0503979,0.295387,0.217078,0.107032,0.027454,0.00140336,-0.0510943,-0.0188038,-0.00852199,0.0523961,0.05244,0.0266088,-0.0989554,0.126769,0.0310801,0.821772,0.0948484,0.0130983,-0.0544168,-0.32690800000000000000
1,"LE31O04",0.00516662,-0.376162,-0.0076552,-0.145697,-0.13596,-0.128815,-0.0118632,0.0638154,-0.27092,-0.300953,0.360303,0.209079,0.192476,-0.0221956,0.407558,0.15738,-0.320958,0.286906,-0.0376164,-0.0814395,0.19648600000000000000
1,"LE14O20",-0.205655,0.0414726,-0.00580605,-0.276154,-0.536722,-0.0281532,-0.340795,0.258315,-0.125836,0.110808,-0.192541,-0.263469,0.247483,-0.0243244,-0.072327,0.0998856,0.134046,0.07539,-0.221616,0.22885,0.26678400000000000000
1,"LE12N14",-0.010288,-0.0725054,-0.040485,-0.0116143,0.0929608,-0.132097,0.896386,-0.0104723,0.144079,-0.0232544,0.170685,0.0341843,0.0510193,-0.0132804,-0.152184,0.0404482,-0.272228,-0.0182407,0.0102019,0.0813118,0.05312130000000000000
1,"LE19F16",-0.165936,-0.369066,0.0465253,-0.256132,0.109505,-0.0605567,-0.120023,-0.184121,-0.145766,-0.0391576,-0.180114,-0.0725929,0.12948,0.0461035,-0.177808,-0.34446,0.258387,-0.100222,0.178262,0.449745,0.40498700000000000000
1,"LE23P03",-0.0241148,0.0542948,0.120997,0.000740084,-0.740537,-0.165976,-0.273858,-0.00677734,-0.0342882,-0.260224,-0.0478769,-0.201747,0.0900835,0.20116,-0.25359,-0.0616419,-0.0407057,-0.157301,0.212771,0.156662,-0.07779740000000000000
1,"LE19C19",0.0562424,-0.00216931,-0.0824961,-0.00322037,-0.0833351,-0.0236263,0.503503,0.0871555,0.0938051,-0.0271061,0.0196372,0.0335074,-0.00844408,0.059646,-0.0179546,-0.026523,-0.00470855,-0.182366,-0.189784,-0.572803,-0.55525100000000000000
1,"LE4E02",-0.162747,-0.39901,0.175084,-0.178271,0.17509,-0.150968,-0.177411,-0.577978,0.036173,0.0354707,-0.214225,-0.0479552,-0.161613,-0.00196194,-0.0940484,-0.414228,-0.071087,-0.0766979,-0.250059,0.0259659,0.03791470000000000000
1,"LE30C15",-0.264123,-0.164718,-0.0741691,0.159313,-0.585919,-0.0267815,-0.0313178,0.129069,-0.17217,0.150183,0.0321512,0.179883,-0.508127,0.0145591,-0.0643002,0.0447992,-0.126607,-0.149292,-0.221385,-0.262148,-0.06619640000000000000
1,"LE12N17",0.00798635,0.0044663,-0.0551209,0.264429,0.033669,0.0157433,0.106879,0.385283,0.107165,0.105981,0.00255516,-0.240447,-0.23627,-0.13179,0.0829931,0.172072,0.148304,-0.530489,0.0828756,0.37429,0.35370400000000000000
1,"LE29A04",0.0199213,-0.062362,-0.025894,-0.131505,-0.218984,0.171442,-0.263667,0.216668,-0.43609,0.0264915,-0.03588,-0.0109832,0.0130685,0.195104,-0.0753764,0.0217755,0.551884,0.0307709,-0.441273,-0.215706,0.02207880000000000000
